,annotation_original,annotation_unique,annotation_unique_extra,blob
2229,77,FS57a,FS57a,"Im Jahresdurchschnitt waren im Unternehmen 125 Mitarbeiter (davon 72 Vollzeitangestellte, 31 Teilzeitangestellte, 22 Azubis)
beschäftigt. Zum Bilanzstichtag waren 126 Angestellte (davon 73 Vollzeitangestellte, 31 Teilzeitangestellte, 22 Azubis) bei der
Thomas-Krenn.AG tätig."
2230,81,None,None,Ergebnisverwendung
2231,81,None,None,Der Vorstand schlägt die folgende Ergebnisverwendung vor:
2232,81,None,None,"Der Jahresüberschuss beträgt EUR 1.016.989,65"
2233,81,None,None,"Einschließlich des zu berücksichtigenden Gewinnvortrags aus dem Vorjahr in Höhe von EUR 3.974.514,44 abzüglich des
Aktienrückkaufs in Höhe von 2.600.000,00 EUR ergibt sich ein Bilanzgewinn von 2.391.504,09, der zu verwenden ist."
2234,81,None,None,Der Vorstand schlägt vor den Bilanzgewinn auf neue Rechnung vorzutragen.
2235,,None,None,"Freyung, den 21. April 2017"
2236,,None,None,Anhang für das Geschäftsjahr 2016/2017
2237,,None,None,Allgemeine Angaben
2238,56,H151,H151,Die PRIMAG AG hat ihren Sitz in Düsseldorf. Sie wird beim Handelsregister des Amtsgerichts Düsseldorf unter der Nummer HR B 39513 geführt.
2239,7,H7,H7,Der Jahresabschluss zum 31. März 2017 wurde gemäß §§ 242 ff. und §§ 264 ff. HGB sowie nach den einschlägigen Vorschriften des Aktiengesetzes aufgestellt.
2240,7,H7,H7,Unsere Gesellschaft ist eine kleine Kapitalgesellschaft gemäß § 267 Abs. 1 HGB. Größenabhängige Erleichterungen bei der Aufstellung des Jahresabschlusses gemäß § 288 HGB wurden teilweise in Anspruch genommen. Die Gewinn- und Verlustrechnung stellten wir nach dem Gesamtkostenverfahren auf.
2241,"2,32","H2, H76","H2, H76","Im Berichtsjahr wurden erstmalig die durch das Bilanzrichtlinie-Umsetzungsgesetz (BilRUG) geänderten Vorschriften angewandt. Wesentliche Änderungen in Ansatz, Bewertung und Ausweis haben sich nicht ergeben."
2242,7,H7,H7,Für die Aufstellung des Jahresabschlusses waren im Wesentlichen die nachfolgenden Bilanzierungs- und Bewertungsmethoden maßgebend.
2243,"7.2, 7.7, 7.78","H7, H7, H7","H7.2, H7.7, H7.78","Die immateriellen Vermögensgegenstände sowie Sachanlagen werden zu Anschaffungskosten unter Berücksichtigung von Abschreibungen bewertet (lineare Methode). Geringwertige bewegliche Wirtschaftsgüter (GWGs), die 150 EUR nicht übersteigen, werden im Zugangsjahr sofort in voller Höhe in die Kosten gebucht. GWGs, die zwar 150 EUR aber 410 EUR nicht überschreiten, werden in ein gesondert geführtes Verzeichnis aufgenommen und im Zugangsjahr sofort in voller Höhe abgeschrieben. GWGs, die 410 EUR aber nicht 1.000 EUR übersteigen, werden entsprechend den steuerlichen Vorschriften in einen jährlichen Sammelposten eingestellt und über die Nutzungsdauer von fünf Jahren linear abgeschrieben. Diese Abschreibung erfolgt unabhängig von Wertminderungen oder Veräußerungen der Wirtschaftsgüter. Die geringwertigen beweglichen Wirtschaftsgüter sind insgesamt von untergeordneter Bedeutung."
2244,"7.12, 35","H7, H82","H7.12, H82",Die Finanzanlagen werden mit ihren Anschaffungskosten oder im Falle voraussichtlich dauernder Wertminderung mit dem niedrigeren beizulegenden Wert bewertet.
2245,7.25,H7,H7.25,"Forderungen und sonstige Vermögensgegenstände werden zu Nennwerten bilanziert. Sofern erforderlich, werden auf dubiose Forderungen entsprechende Wertberichtigungen gebildet."
2246,7.33,H7,H7.33,Die Guthaben bei Kreditinstituten wurden ebenfalls zum Nennwert angesetzt.
2247,7.34,H7,H7.34,"Als Rechnungsabgrenzungsposten werden auf der Aktivseite Ausgaben vor dem Abschlussstichtag ausgewiesen, sofern sie Aufwand für eine bestimmte Zeit nach diesem Tag darstellen."
2248,7.47,H7,H7.47,Bei der Bemessung der Rückstellungen wurden alle erkennbaren Risiken berücksichtigt. Sie werden in Höhe des wahrscheinlichen Erfüllungsbetrages angesetzt.
2249,7.51,H7,H7.51,Verbindlichkeiten sind mit dem Erfüllungsbetrag ausgewiesen.
2250,,None,None,Angaben zur Bilanz
2251,,None,None,Angaben zum Anteilsbesitz
2252,4.13,H3a,H3a.13,Die Gesellschaft ist an nachfolgenden Gesellschaften i.S.d. § 285 Nr. 11 HGB beteiligt:
2253,4.13,H3a,H3a.13,"Kapitalanteil % Kapitalanteil Eigenkapital am 31.03.2017 Ergebnis 31.03.2017
EUR EUR EUR
PRIMAG Immobiliengesellschaft
mbH, Düsseldorf
100 % 60.000,00 60.000,00 121.818,021
PRIMAG Grundbesitzgesellschaft
mbH, Düsseldorf
100 % 1.000.000,00 906.764,43 -108.517,65"
2254,4.13,H3a,H3a.13,"Mit unserem Tochterunternehmen PRIMAG Immobiliengesellschaft mbH besteht ein Gewinnabführungs- und Beherrschungsvertrag, nach dem ein entstehender Jahresüberschuss von der PRIMAG Immobiliengesellschaft
mbH abzuführen ist. Andererseits ist die Gesellschaft verpflichtet, jeden sonst entstehenden Jahresfehlbetrag dieses Tochterunternehmens auszugleichen."
2255,,None,None,1 Ergebnis vor Ergebnisabführung
2256,4.25,H3a,H3a.25,Forderungen und sonstige Vermögensgegenstände
2257,4.25,H3a,H3a.25,Sämtliche Forderungen sowie die sonstigen Vermögensgegenstände sind kurzfristig.
2258,4.25,H3a,H3a.25,"Forderungen gegenüber verbundenen Unternehmen bestehen im Wesentlichen gegenüber der Muttergesellschaft GEVI Vermögensverwaltungsgesellschaft mbH (TEUR 754) und der PRIMAG Immobiliengesellschaft
mbH (TEUR 2.733), letztere in Form eines langfristigen, als Ausleihung im Finanzanlagevermögen ausgewiesenen Darlehens. Des Weiteren bestehen Verrechnungskonten gegenüber der PRIMAG Immobiliengesellschaft
mbH (TEUR 848) und der GEVI Vermögensverwaltungsgesellschaft mbH (TEUR 11). Das Verrechnungskonto gegenüber der PRIMAG Immobiliengesellschaft mbH enthält im Wesentlichen
die Umlage der Gemeinkosten auf das Tochterunternehmen (TEUR 597), die Darlehenszinsen (TEUR 77) und den Anteil an der abzuführenden Umsatzsteuer aus der PRIMAG Immobilien GmbH (TEUR 9). Das
Verrechnungskonto gegenüber der GEVI Vermögensverwaltungsgesellschaft mbH enthält ausschließlich die Zinsen für die kurzfristige Kapitalausleihung an die Muttergesellschaft."
2259,,None,None,Eigenkapital
2260,52,H120,H120,"Mehrheitsaktionärin ist die GEVI Vermögensverwaltungsgesellschaft mbH, Düsseldorf, mit einem Kapitalanteil von 78,1 % (3.359.525 Aktien)."
2261,,None,None,"Zum 31. März 2017 bestehen ausschüttungsgesperrte Beträge in Höhe von insgesamt 1.047.655 EUR (§ 285 Nr. 28 HGB), die in voller Höhe auf die Aktivierung von latenten Steuern auf steuerliche Verlustvorträge
entfallen."
2262,14,H25,H25,Eigene Anteile
2263,14,H25,H25,"Die eigenen Aktien sind mit einer Stückzahl von 30.475 unverändert gegenüber dem Vorjahr. Aus dem Vorjahresbestand wurden keine Aktien veräußert. Ihr Nennwert zum Bilanzstichtag beträgt T€ 30 und
macht somit 0,7 % des Grundkapitals (T€ 4.300) aus."
2264,"4.39, 19","H3a, H40","H3a.39, H40",Kapitalrücklage
2265,"4.39, 19","H3a, H40","H3a.39, H40",Veränderungen der Kapitalrücklage haben sich im Geschäftsjahr nicht ergeben.
2266,44,H95g,H95g,Bilanzgewinn und Gewinnverwendung
2267,"4.35, 22, 38, 44","H3a, H44, H89, H95g","H3a.35, H44, H89, H95g","Der Bilanzgewinn beträgt TEUR 372, worin ein Gewinnvortrag i.H.v. TEUR 271 und der Jahresüberschuss von TEUR 101 enthalten sind. Vom Bilanzgewinn sind TEUR 372 auf Grund der Aktivierung latenter
Steuer ausschüttungsgesperrt. Der Bilanzgewinn soll auf das Geschäftsjahr 2017/18 vorgetragen werden."
2268,4.47,H3a,H3a.47,Rückstellungen
2269,4.50,H3a,H3a.50,Die sonstigen Rückstellungen setzen sich wie folgt zusammen:
2270,4.50,H3a,H3a.50,"Stand 31.03.2016 Verbrauch Auflösung Zuführung Stand 31.03.2017
EUR EUR EUR EUR EUR
Prüfungskosten 33.350,00 30.492,39 2.857,61 30.600,00 30.600,00
Aufsichtsratsvergütung 13.640,00 13.640,00 0,00 29.100,00 29.100,00
Sonstige 7.000,00 0,00 0,00 3.500,00 10.500,00
Gesamt 53.990,00 44.132,39 2.857,61 63.200,00 70.200,00"
2271,4.56,H3a,H3a.56,Verbindlichkeiten aus Lieferungen und Leistungen
2272,4.56,H3a,H3a.56,Die Verbindlichkeiten aus Lieferungen und Leistungen haben (wie im Vorjahr) eine Restlaufzeit von weniger als einem Jahr.
2273,4.58,H3a,H3a.58,Verbindlichkeiten gegenüber verbundenen Unternehmen
2274,4.58,H3a,H3a.58,"Die Verbindlichkeiten gegenüber verbundenen Unternehmen sind sämtlich innerhalb eines Jahres fällig. Zum Stichtag besteht eine Verbindlichkeit in Form eines Darlehens gegenüber der PRIMAG Grundbesitzgesellschaft
mbH (TEUR 567)."
2275,4.60,H3a,H3a.60,Sonstige Verbindlichkeiten
2276,"4.60, 4.61","H3a, H3a","H3a.60, H3a.61","Die sonstigen Verbindlichkeiten sind sämtlich (wie im Vorjahr) innerhalb eines Jahres fällig und enthalten Verbindlichkeiten aus Lohn- und Gehalt TEUR 4 (Vorjahr TEUR 4), Lohn- und Kirchensteuer mit
TEUR 4 (Vorjahr TEUR 1) sowie aus Umsatzsteuer TEUR 2 (Vorjahr TEUR 2)."
2277,,None,None,Gewinn- und Verlustrechnung
2278,7,H7,H7,Die Gewinn- und Verlustrechnung wird nach dem Gesamtkostenverfahren gegliedert.
2279,4.66,H3a,H3a.66,Die Umsatzerlöse bestehen aus der Weiterberechnung der konzerninternen Kostenumlage in Höhe von TEUR 606 (Vorjahr: TEUR 544).
2280,"4.81,4.86","H3a, H3a","H3a.81, H3a.86","Das Finanzergebnis beinhaltet im Wesentlichen Erträge aus dem Gewinnabführungs- und Verlustübernahme-Vertrag mit der PRIMAG Immobiliengesellschaft mbH in Höhe von TEUR 122 (Vorjahr: TEUR
-417) und Zinserträge aus verbundenen Unternehmen in Höhe von TEUR 88 (Vorjahr: TEUR 96)."
2281,,None,None,Sonstige Angaben
2282,30,FS5,FS5,Haftungsverhältnisse und sonstige finanzielle Verpflichtungen
2283,47,H104,H104,"Es bestehen sonstige finanzielle Verpflichtungen aus Miet-, Pacht- und Leasingverträgen in Höhe von TEUR 47 im Folgejahr."
2284,47,H104,H104,"Weiterhin bestehen sonstige finanzielle Verpflichtungen zur Nachzahlung von Bezügen in Höhe von TEUR 570, auf die der Vorstand in den Geschäftsjahren 2013/2014 bis 2016/2017 verzichtet hat. Ein Verzicht
wurde auch für Teile der in Folgejahren vertragsmäßig zu leistenden Vergütungen ausgesprochen (Umfang des Verzichtes: TEUR 120 p.a.). Der Verzicht ist mit einer Besserungsklausel versehen, die bei Eintritt
der Bedingungen zu einer Nachzahlung der Bezüge führt."
2285,31,H65,H65,"Durch das notarielle Schuldanerkenntnis mit Unterwerfungsklausel vom 26. November 2015 haftet die PRIMAG AG für die von der PRIMAG Immobiliengesellschaft mbH im Dezember 2015 ausgegebene
Anleihe (TEUR 2.500) nebst 11% Zinsen bis zu deren Fälligkeit am 30. November 2017. Derzeit gehen wir auf Grund der erwarteten geschäftlichen Entwicklung der PRIMAG Immobiliengesellschaft mbH nicht
von einer Inanspruchnahme der PRIMAG AG aus diesem Schuldanerkenntnis aus."
2286,55,E51,E51,Vorstand
2287,55,E51,E51,"Im Geschäftsjahr vom 1. April 2016 bis zum 31. März 2017 wurde die PRIMAG AG durch den Vorstand, Herrn Gerd Esser/Kaufmann, Düsseldorf, vertreten. Er hat für seine Tätigkeit erfolgsunabhängige
Gesamtbezüge in Höhe von TEUR 146 erhalten."
2288,46,FS57a,FS57a,Beschäftigte
2289,46,FS57a,FS57a,Im Jahresdurchschnitt waren vier Mitarbeiter (ohne Vorstand) beschäftigt.
2290,55,E51,E51,Aufsichtsrat
2291,55,E51,E51,"Der Aufsichtsrat bestand im Berichtsjahr aus folgenden Mitgliedern:.
–Herr Friedemann Bruhn, Rechtsanwalt (Vorsitz)
–Herrn Dieter Dunkerbeck, Wirtschaftsprüfer/Steuerberater (stellvertretender Vorsitzender)
–Herr Prof. Dr. Christoph Freichel, Wirtschaftsprüfer/Steuerberater
Der Gesamtbetrag der Bezüge und Auslagen des Aufsichtsrates im Berichtsjahr beläuft sich auf TEUR 32."
2292,,None,None,Konzernabschluss
2293,52,H120,H120,"Unsere Gesellschaft stellt freiwillig auch einen Konzernabschluss auf. Dieser Konzernabschluss ist damit gleichzeitig der Konzernabschluss für den größten und für den kleinsten Kreis von Unternehmen, in den
unsere Gesellschaft einbezogen wird. Der Konzernabschluss wird im elektronischen Bundesanzeiger veröffentlicht."
2294,,None,None,Nachtragsbericht
2295,,None,None,Es liegen keine Vorgänge von besonderer Bedeutung zwischen dem Bilanzstichtag 31. März 2017 und der Erstellung dieses Anhangs vor.
2296,,None,None,"Düsseldorf, den 30. Mai 2017"
2297,,None,None,PRIMAG AG
2298,,None,None,- Vorstand -.
2299,,None,None,Entwicklung des Anlagevermögens 2016/17
2300,,None,None,"Anschaffungs- und Herstellungskosten Kumulierte Abschreibungen
1.4.2016 Zugänge Abgänge 31.3.2017 1.4.2016 Zugänge
EUR EUR EUR EUR EUR EUR
I. Immaterielle Vermögensgegenstände
Entgeltlich erworbene
Software
31.415,78 0,00 0,00 31.415,78 25.009,78 2.710,00
II. Sachanlagen
Andere Anlagen, Betriebs-
und Geschäftsausstattung
312.905,39 105.034,81 338,00 417.602,20 228.589,39 29.326,81
III. Finanzanlagen
1. Anteile an verbundenen
Unternehmen
1.470.000,00 0,00 0,00 1.470.000,00 410.000,00 0,00
2. Ausleihungen an verbundene
Unternehmen
2.911.176,51 0,00 178.160,09 2.733.016,42 0,00 0,00
4.381.176,51 0,00 178.160,09 4.203.016,42 410.000,00 0,00
4.725.497,68 105.034,81 178.498,09 4.652.034,40 663.599,17 32.036,81"
2301,,None,None,"Kumulierte Abschreibungen Buchwerte
Abgänge 31.3.2017 31.3.2017 31.3.2016
EUR EUR EUR EUR
I. Immaterielle Vermögensgegenstände
Entgeltlich erworbene Software 0,00 27.719,78 3.696,00 6.406,00
II. Sachanlagen
Andere Anlagen, Betriebs- und Geschäftsausstattung
338,00 257.578,20 160.024,00 84.316,00
III. Finanzanlagen
1. Anteile an verbundenen Unternehmen
0,00 410.000,00 1.060.000,00 1.060.000,00
2. Ausleihungen an verbundene Unternehmen
0,00 0,00 2.733.016,42 2.911.176,51
0,00 410.000,00 3.793.016,42 3.971.176,51
338,00 695.297,98 3.956.736,42 4.061.898,51"
2302,,None,None,
2303,,None,None,Anhang für das Geschäftsjahr 2016
2304,,None,None,Allgemeine Angaben
2305,90,H151,H151,Die Finanz Informatik GmbH & Co. KG hat ihren Sitz in Frankfurt am Main und ist eingetragen in das Handelsregister beim Amtsgericht Frankfurt (HRA 30059).
2306,,None,None,Angaben zur Form und Darstellung
2307,8.0,H7,H7.0,Der Jahresabschluss wurde nach den für große Kapitalgesellschaften maßgeblichen Rechnungslegungsvorschriften des Handelsgesetzbuches in der Fassung des Bilanzrichtlinie-Umsetzungsgesetzes (BilRUG) aufgestellt.
2308,7,H6,H6,"Um die Übersichtlichkeit der Darstellung zu verbessern, wurden einzelne Posten der Bilanz sowie der Gewinn- und Verlustrechnung zusammengefasst. Zusammengefasste Posten sind im Anhang detailliert ausgewiesen."
2309,8.0,H7,H7.0,Für die Gliederung der Gewinn- und Verlustrechnung wurde das Gesamtkostenverfahren gemäß § 275 Abs. 2 HGB gewählt.
2310,50,H76,H76,Im Geschäftsjahr 2016 wurden erstmals die Vorschriften des BilRUG angewandt. Bei Anwendung des BilRUG auf die Vorjahreszahlen der Gewinn- und Verlustrechnung hätten sich folgende Änderungen ergeben:
2311,50,H76,H76,"2015 nach BilRuG.
TEUR
2015 vor BilRuG.
TEUR
Veränderung.
TEUR
Umsatzerlöse 1.540.588 1.524.422 16.166
Sonstige betriebliche Erträge 10.083 23.985 -13.902
Materialaufwand 911.964 910.136 1.828
Sonstige betriebliche Aufwendungen 118.732 120.560 -1.828
Außerordentliches Ergebnis 0 2.264 -2.264
2.581.367 2.581.367 0"
2312,,None,None,Bilanzierungs- und Bewertungsmethoden
2313,8.4,H7,H7.4,Entgeltlich erworbene immaterielle Vermögensgegenstände sind zu Anschaffungskosten erfasst und werden linear entsprechend ihrer voraussichtlichen Nutzungsdauer abgeschrieben.
2314,8.7,H7,H7.7,"Sachanlagen werden mit den Anschaffungskosten abzüglich planmäßiger, linear ermittelter Abschreibungen bewertet. Den planmäßigen Abschreibungen liegen grundsätzlich die betriebsgewöhnlichen Nutzungs- dauern - gegebenenfalls unter Berücksichtigung der mehrschichtigen Nutzung - zugrunde."
2315,8.7,H7,H7.7,"Abnutzbare bewegliche Wirtschaftsgüter des Anlagevermögens mit Anschaffungskosten von 150,01 EUR bis 410,00 EUR werden im Zugangsjahr voll abgeschrieben."
2316,8.12,H7,H7.12,"Die Finanzanlagen werden grundsätzlich mit ihren Anschaffungskosten angesetzt, soweit erforderlich wurden diese mit dem niedrigeren beizulegenden Wert bilanziert. Unverzinsliche Ausleihungen werden mit ihrem Barwert ausgewiesen."
2317,8.20,H7,H7.20,Die Vorräte werden zu durchschnittlichen Anschaffungskosten bzw. zu Herstellungskosten unter Beachtung des Niederstwertprinzips bewertet.
2318,8.22,H7,H7.22,"Die Bewertung der unfertigen Leistungen erfolgte zu den angefallenen Herstellungskosten. Die angesetzten Herstellungskosten enthalten die Fertigungs- und Materialeinzelkosten, die Sonderkosten der Fertigung, ferner angemessene Teile der Material-, Fertigungs- und Verwaltungsgemeinkosten sowie die Kosten des Werteverzehrs des Anlagevermögens, soweit dieser durch die Fertigung veranlasst ist."
2319,8.25,H7,H7.25,Die übrigen Forderungen und sonstigen Vermögensgegenstände sind zum Nennwert abzüglich individueller Abschläge für erkennbare Einzelrisiken bewertet. Die flüssigen Mittel sind zum Nennwert bewertet.
2320,8.37,H7,H7.37,Das Eigenkapital ist zum Nennwert bilanziert.
2321,"8.48, 33","H7, H50","H7.48, H50","Die Rückstellungen für Pensionen und ähnliche Verpflichtungen sind auf der Grundlage versicherungsmathematischer Berechnungen (Richttafeln Dr. Heubeck, 2005 G) unter Anwendung des Anwartschaftsbar- wertverfahrens bei einem Rechnungszinssatz von 4,01 % (i. Vj. 3,89 %) sowie unter Berücksichtigung einer Gehaltsdynamik von 2,0 % (i. Vj. 2,0 %), einer jährlichen Rentensteigerung von 1,5 % (i. Vj. 1,5"
2322,"8.48, 33, 34","H7, H50, H51","H7.48, H50, H51","%) sowie einer Fluktuationsquote von 4,5 % (i. Vj. 4,5 %) angesetzt. Die Rückstellungen sind gemäß § 253 Abs. 2 Satz 1 HGB n.F. ab dem Geschäftsjahr 2016 mit dem durchschnittlichen Marktzinssatz der letzten zehn Geschäftsjahre abzuzinsen. Nach § 253 Abs. 2 Satz 1 HGB a.F. waren Rückstellungen einheitlich mit dem durchschnittlichen Marktzinssatz der letzten sieben Geschäftsjahre abzuzinsen. Aus dieser Bewertungsänderung ergibt sich ein Unterschiedsbetrag von 6.173 TEUR. Der Unterschiedsbetrag unterliegt der Ausschüttungssperre. Da die freien Rücklagen jedoch diesen Wert übersteigen, ergeben sich im Falle einer etwaigen Ausschüttung keine Auswirkungen."
2323,8.49,H7,H7.49,Die Steuerrückstellungen und die sonstigen Rückstellungen sind nach den Grundsätzen vernünftiger kaufmännischer Beurteilung zum Erfüllungsbetrag passiviert.
2324,8.50,H7,H7.50,"Die Rückstellungen für Altersteilzeitverpflichtungen basieren auf versicherungsmathematischen Grundsätzen auf der Grundlage der Richttafeln von Dr. Heubeck 2005 G; der Zinsfuß beträgt 3,24 % (i. Vj. 3,89"
2325,8.50,H7,H7.50,"%) unter Berücksichtigung einer jährlichen Gehaltsdynamik von 2,0 % (i.Vj. 2,0 %). Zurückgestellt wurden ausschließlich Verpflichtungen aus abgeschlossenen Altersteilzeitverträgen."
2326,8.51,H7,H7.51,Die Verbindlichkeiten sind mit ihrem Erfüllungsbetrag passiviert.
2327,,None,None,Erläuterungen zur Bilanz
2328,4.1,H3a,H3a.1,(1) Anlagevermögen
2329,4.1,H3a,H3a.1,"Die Entwicklung der einzelnen Positionen des Anlagevermögens ergibt sich aus dem als Anlage beigefügten Anlagespiegel, wobei sich die unter den Finanzanlagen ausgewiesenen Anteile an verbundenen Unternehmen und Beteiligungen der Finanz Informatik im Einzelnen wie folgt darstellen:"
